Volume of exports of major arms by the top suppliers  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:07:33 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,United States,1447,3988,6987,9791,6350,7081,8606,8411,9335,7293,6127,6287,6127,9425,12490,12000,8944,7437,8619,11632,8350,11606,10674,12003,12742,15342,15714,14324,13513,9786,10651,13648,13965,13826,11890,10763,11611,12191,12029,11349,10704,12580,14141,13763,11464,11224,10781,14472,15839,11548,7678,5591,4872,5684,6869,6724,7497,7870,7089,7151,8354,9041,8965,7770,9455,10314,9890,11381,9264,10498,9730,11601,14505,10920,13651,13980,767217,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,Soviet Union,4071,3728,6018,8724,8734,5922,6540,6578,7821,7871,6414,6247,7750,6866,8761,8532,10230,11582,11009,9755,10101,11387,13413,15796,15252,11742,9982,15146,17637,17043,18558,17369,16838,14851,14073,14365,14888,13501,12301,11444,9864,5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454224,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643,3486,1537,3828,3639,3448,2120,4409,4496,5250,5735,5266,6353,5199,5182,5596,5998,5126,6227,8793,8335,7887,5404,5799,6751,6395,7145,5374,3660,2397,2566,1513,1994,1941,161494,7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,United Kingdom,2194,3357,3106,4435,4514,4799,5847,4916,3886,3425,2187,1401,1065,1244,1408,1498,1421,1879,1679,1615,982,2346,2684,2791,2249,2228,2522,2195,2206,1543,1566,2356,2515,2537,2529,2142,1985,3603,2527,3503,1844,1525,1093,1381,1526,1460,1616,2363,1400,1315,1619,1352,1078,769,1231,990,957,924,931,1071,1146,1001,813,1509,1658,1183,1344,1104,682,886,652,639,1740,1320,884,702,146592,6.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,France,14,78,78,301,266,348,988,616,753,770,866,856,912,1330,1574,1333,1896,1602,1504,1518,1735,2363,2694,2974,2180,2321,2039,2737,3317,2970,3851,3683,3789,3414,2932,3992,2962,1752,1960,2269,1799,1166,1246,971,858,969,1839,3176,3098,1683,966,1311,1375,1348,2117,1645,1484,2145,1872,1845,888,2079,1338,1870,1763,2229,2193,2336,1867,3753,2290,3904,3156,2175,2472,3367,144131,6.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,Germany,,,,38,29,24,24,44,25,93,156,12,146,133,437,327,711,758,588,882,1584,1356,1359,222,1187,1424,1656,1925,1603,1427,1597,1903,1510,2213,2929,1327,1349,908,1383,1258,1820,2407,1517,1545,2908,1525,1949,951,1840,1937,1672,851,889,1632,1090,2083,2482,3291,2378,2207,2364,1203,715,721,1830,1823,2512,1826,1098,978,1153,852,1508,2547,2108,1696,96449,4.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,China,,,,,3,,,36,490,403,285,35,47,12,75,387,628,426,746,669,905,1308,1246,658,508,661,580,224,611,553,943,707,1557,1761,1935,1292,1861,2600,1426,1056,955,1324,672,1437,1063,981,764,427,349,334,309,510,524,701,408,341,769,520,598,1138,1531,1308,1499,2100,1353,1841,2480,1643,1391,1601,645,1342,2323,2745,1294,880,66736,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,Italy,119,106,24,1,11,138,263,283,239,8,105,246,262,241,385,296,243,144,197,325,280,383,284,328,409,520,523,505,665,1312,1163,1704,1674,1112,1232,868,223,626,389,316,200,354,249,342,208,301,287,447,423,516,205,267,474,359,261,832,538,700,433,512,577,964,789,884,688,671,616,703,535,372,821,1627,1713,1367,1208,1923,41521,1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,Czechoslovakia,17,15,16,9,200,1356,1874,2185,1526,943,665,205,177,142,270,327,428,450,506,666,435,420,648,670,886,739,830,845,820,818,791,935,926,1072,1131,1036,1248,1302,1359,1065,626,427,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31223,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,Netherlands,199,63,20,7,72,255,9,8,39,41,38,105,69,43,95,40,144,95,352,107,5,155,133,203,83,148,293,444,235,243,612,801,661,457,364,180,357,506,776,558,416,455,383,458,628,458,484,619,642,355,281,199,233,331,202,496,1147,1228,452,504,366,541,906,384,643,469,487,1140,468,304,497,357,324,250,370,601,27089,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
