Volume of imports of major arms by all recipients  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:08:14 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,India,140,253,103,401,334,396,305,925,1069,902,544,1148,402,695,794,1004,961,1132,1372,1366,963,2019,2093,1511,1331,1528,1942,2375,1195,1200,1768,2124,2649,2641,2434,2996,4240,3919,3854,3676,2832,1875,1189,737,873,1358,831,1683,797,1216,988,1050,1902,2798,2246,1202,1487,2300,1643,1958,2897,3625,4506,5302,3282,2733,2651,2682,1982,3202,2670,3958,2701,1540,1603,2863,139866,6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,China,2626,2246,3478,3143,3499,1804,2266,2143,2795,3176,2357,952,415,450,485,257,225,144,180,,1,1,1,1,1,1,1,72,83,8,4,,5,16,62,104,11,47,97,163,267,439,1184,1230,304,701,1496,940,375,1722,2473,2755,2830,2326,3236,3467,2831,1699,1784,1382,940,1033,1542,1221,1033,1190,1209,1546,2254,1571,775,685,646,428,71,207,83110,3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Saudi Arabia,0,,7,1,0,18,10,108,14,6,6,8,22,,5,48,227,222,448,416,87,10,130,202,547,372,702,1019,1014,767,1085,1816,2223,1819,824,1314,2842,2010,784,1382,2041,1039,1150,2353,981,985,1727,2791,2889,1579,104,59,559,158,1157,166,207,229,389,828,1109,1176,835,1686,2717,3474,2909,3852,2944,3033,2241,1747,3053,1326,1238,3042,80286,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,Egypt,152,46,1,2,135,729,1203,998,394,273,164,544,685,741,851,962,1540,2241,1276,1242,1983,1982,3255,2607,1108,566,159,410,136,631,1016,1195,2508,1695,1506,955,1465,1634,449,319,563,887,973,1258,2027,1704,969,1051,483,517,833,824,717,633,660,833,695,660,326,95,689,653,308,719,430,1443,1653,2480,1637,1088,1398,1299,742,1152,128,697,72979,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,Japan,,,8,223,280,412,765,1023,1178,666,790,335,263,239,1716,1155,324,610,557,488,502,605,493,468,733,1597,1475,788,901,920,1029,1308,1444,1692,2051,1966,1893,1942,1998,2283,2682,2940,2519,2130,1016,1255,876,843,1489,1257,497,427,442,458,399,375,469,553,990,990,658,300,239,341,316,343,332,446,764,992,929,1009,1466,852,1043,1715,71473,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,Germany,,,,,,16,1560,2230,2774,1482,2036,2093,2501,3312,3828,3515,3387,1385,1249,1233,1257,2240,796,1721,2141,1831,1357,1012,661,65,150,261,453,434,412,130,322,340,447,701,757,750,716,529,417,222,244,60,618,129,113,133,71,70,245,206,413,46,277,329,301,79,140,103,77,119,55,43,14,38,105,235,269,203,240,1632,59329,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,Turkiye,100,119,337,171,172,445,307,616,532,904,581,322,266,586,839,603,525,593,418,628,396,941,1094,790,1279,640,358,293,984,917,486,726,478,503,549,678,472,1429,1628,1026,1241,1285,1872,2326,1888,1564,1488,1509,2623,1734,1181,501,878,327,252,1076,524,675,623,714,469,794,1482,769,1529,446,324,427,476,742,110,249,187,679,381,381,58454,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,South Korea,170,177,239,229,232,277,386,217,192,180,122,113,65,214,332,632,578,137,359,586,100,250,413,269,458,661,556,1199,399,1323,877,872,673,496,524,760,857,773,1237,1835,1201,908,782,1011,1005,1952,1971,1219,1417,1638,1393,768,519,767,1061,801,1658,1730,1691,798,1299,1568,1077,189,742,268,1038,962,1030,1605,1273,812,423,218,1031,222,58013,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,Iraq,,,59,50,17,57,99,41,188,174,176,130,278,201,321,248,341,364,392,418,185,187,645,1846,1425,1113,1137,1073,1796,1395,2252,2580,3259,3375,4581,3909,3393,3474,1918,1513,818,,,,,,,,,,,,,,49,195,306,299,379,418,480,623,523,375,629,1488,1831,945,454,144,5,,55,30,80,55,54790,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,United States,313,595,775,1215,1796,1792,1971,1211,591,546,181,198,236,283,358,170,89,88,62,50,38,578,769,656,586,388,499,384,369,253,380,531,248,463,381,655,424,1998,1788,1783,363,515,540,968,951,809,601,610,262,220,333,508,515,630,596,582,706,842,936,939,969,937,1138,767,568,482,447,504,379,882,806,922,846,891,1053,745,50451,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
